N° Projet;Montant Loyer;Durée;;Montant Financé
60826;259,98;21;6,137;4236,2718
60827;NULL;NULL;NULL;NULL
60309;NULL;NULL;NULL;NULL
60441;663,04;18;6,644208329;9979,27
3879;NULL;NULL;NULL;NULL
60830;1502,44;21;5,6289660179;26691,2
60834;102;22;6,271;1626,5348
60542;1218,35;22;5,4036854278;22546,74
60841;2307,7;22;5,4036854278;42706,02
60842;13809,1;21;5,6289660179;245322,18
60865;NULL;NULL;NULL;NULL
60880;154,65;22;5,5936729331;2764,73
60884;133,2;22;5,5936729331;2381,26
60409;900;20;5,915;15215,5537
60755;157,5;20;6,306;2497,6213
61039;NULL;NULL;NULL;NULL
61042;33,23;12;9,3545580499;355,17
61043;358;21;5,85;6119,6581
61038;330,47;21;5,8185685492;5679,6
61045;109,4;21;6,433;1700,6062
61051;NULL;NULL;NULL;NULL
61052;NULL;NULL;NULL;NULL
60142;NULL;NULL;NULL;NULL
59579;NULL;NULL;NULL;NULL
61059;72;20;6,71;1073,0253
61064;375;63;5,817;6446,622
30705;NULL;NULL;NULL;NULL
35409;NULL;NULL;NULL;NULL
57157;NULL;NULL;NULL;NULL
61071;NULL;NULL;NULL;NULL
59441;90;21;6,433;1399,0362
68146;NULL;NULL;NULL;NULL
61076;NULL;NULL;NULL;NULL
61101;NULL;NULL;NULL;NULL
69215;304,68;21;5,7855;5266,27
58349;541;5;5,755;9400,5213
59998;450;5;5,642;7975,8951
61116;NULL;NULL;NULL;NULL
61118;NULL;NULL;NULL;NULL
61121;NULL;NULL;NULL;NULL
61127;334,27;7;15,803;2115,2313
61210;557;21;5,9;9440,678
61216;NULL;12;6,433;1668
61221;546,34;22;5,7055463918;9575,62
61223;NULL;20;NULL;NULL
61224;NULL;NULL;NULL;NULL
60952;126,3;22;5,5936729331;2257,91
61230;157;21;6,1;2573,7705
61232;NULL;NULL;NULL;NULL
61741;NULL;NULL;NULL;NULL
61144;6300;4;27,25;23119,2661
61257;945,7;21;5,642;16761,7866
61255;300;12;9,605;3123,3732
61260;2115,36;21;5,5950000408;37807,96
61267;759,13;21;5,758;13183,918
61273;293;5;5,795;5056,0828
61275;264;21;6,1;4327,8689
61280;NULL;NULL;NULL;NULL
61170;NULL;NULL;NULL;NULL
61285;839;21;5,654;14839,052
61288;477;17;7,211;6614,8939
61290;370;21;5,654;6544,0396
61292;315;21;5,654;5571,277
61295;315;21;5,654;5571,277
61297;315;21;5,654;5571,277
61298;315;21;5,654;5571,277
67797;270;12;9,605;2811,0359
61079;129;21;6,433;2005,2852
58397;135;21;6,142;2197,9811
61147;NULL;NULL;NULL;NULL
60872;186;18;6,604;2816,4749
61323;1245;NULL;5,642;22066,643
61284;350;21;6;5833,3333
61324;586,74;22;5,7055463918;10283,68
61329;2110;21;5,56;37949,6403
61334;258;66;5,6;4607,1429
61234;374;21;5,795;6453,8395
61345;407;21;5,795;7023,2959
60686;439,65;22;5,4039907775;8135,65
61338;NULL;12;NULL;NULL
57472;NULL;NULL;NULL;NULL
61381;450;20;5,979;7526,3422
61384;205,33;21;6,1;3366,0656
61388;157,65;20;6,306;2500
61394;NULL;NULL;NULL;NULL
61401;290;21;6,137;4725,4359
60738;377;39;2,8988;13005,3815
64181;NULL;NULL;NULL;NULL
61777;3124,2;18;6,455541932;48395,56
61204;NULL;NULL;NULL;NULL
71509;475,6;21;5,76;8256,9444
71489;38,98;16;8,189;476,0044
61788;NULL;NULL;NULL;NULL
61800;165;5;5,76;2864,5833
61808;3343,5;16;7,1796927607;46568,85
