N° Projet;Montant Loyer;Durée;;Montant Financé
36136;166;21;6,075;2732,5103
35805;630;21;0,06079;10363,5466
35808;NULL;NULL;NULL;NULL
36798;177;21;6,075;2913,5802
35913;5799,37;60;5,72;101387,5874
47107;231;63;1,983;11649,0166
35959;311;16;7,569;4108,8651
35961;462;21;5,662;8159,6609
35968;312;21;5,681;5491,9908
36051;488;21;5,888;8288,0435
35980;360;21;5,8;6206,8966
36314;NULL;NULL;NULL;NULL
36034;421,76;16;7,382;5713,3568
45829;NULL;NULL;NULL;NULL
36109;NULL;NULL;NULL;NULL
36457;96;21;6,408;1498,1273
36010;324;21;5,718;5666,3169
36012;204;21;6,039;3378,0427
36126;400,5;21;5,757;6956,7483
36022;975;4;7,174;13590,7444
36026;997,5;21;5,594;17831,6053
36321;249;21;6,075;4098,7654
36027;282;21;6,23;4526,4848
35946;390;2;14,402;2707,9572
36032;1015;20;5,834;17398,0117
36035;1906;12;9,644;19763,5836
36043;1989;21;5,876;33849,5575
36041;NULL;NULL;NULL;NULL
36059;240;21;6,084;3944,7732
36061;NULL;NULL;NULL;NULL
36048;149,4;21;6,1;2449,1803
36063;390;16;7,265;5368,2037
36064;210;21;6,039;3477,3969
36065;389;20;5,996;6487,6584
36066;831;21;5,622;14781,2166
36074;432;21;5,956;7253,1901
36045;474;21;5,888;8050,2717
36075;NULL;NULL;NULL;NULL
36082;1810;16;7;25857,1429
36086;444;20;5,996;7404,9366
36090;588;21;5,662;10385,023
36089;489;NULL;5,94;8232,3232
35797;638;21;5,698;11196,9112
36094;360;21;5,662;6358,1773
36095;360;21;5,662;6358,1773
36057;961,6;21;5,594;17189,8463
36096;NULL;NULL;NULL;NULL
36107;1404,7;21;5,784;24285,9613
36093;683,26;42;7,115;9603,0921
36112;774;21;5,693;13595,6438
36115;1250,58;42;7,115;17576,669
35929;509,6;12;9,214;5530,7141
36127;1096;12;9,214;11894,9425
36129;122;60;2,10708;5790,0032
36139;261,5;21;6,093;4291,8103
36039;375;21;5,757;6513,8093
36011;82;21;6,4;1281,25
36140;NULL;NULL;NULL;NULL
36147;501,8;16;7,72;6500
36180;438;7;15,637;2801,0488
36806;997;21;5,52;18061,5942
36157;NULL;NULL;NULL;NULL
36158;270;21;6,039;4470,9389
35904;249;36;9,674;2573,9094
36329;NULL;NULL;NULL;NULL
36334;NULL;NULL;NULL;NULL
48123;81;20;6,623;1223
35941;NULL;NULL;NULL;NULL
35947;333;21;6,161;5404,9667
35972;400;12;9,536;4194,6309
34362;NULL;NULL;NULL;NULL
36037;268;14;8,723;3072,3375
36044;346,02;20;5,934;5831,1426
36050;99;21;6,37;1554,1601
36052;268,74;21;5,83236;4607,7403
36053;868,18;21;5,594;15519,8427
36146;790;21;5,921;13342,3408
36058;326;21;5,718;5701,2942
36060;NULL;NULL;NULL;NULL
47109;1062,31;21;5,615;18919,1451
36067;NULL;NULL;NULL;NULL
36068;542,35;21;NULL;NULL
36003;875;21;5,594;15641,759
36078;1359,09;21;5,594;24295,4952
36088;800;21;5,961;13420,567
36084;435;21;5,693;7640,9626
35255;663;21;5,662;11709,6432
36092;305;21;5,757;5297,8982
36209;386,5;21;5,751;6720,5703
35887;545;21;5,698;9564,7596
35707;198;21;6,028;3284,6715
37990;174;21;NULL;2864,62
35890;1202;21;5,594;21487,3078
36118;30;21;6,439;465,9109
36121;531;21;5,731;9265,3987
36122;NULL;NULL;NULL;NULL
36128;NULL;NULL;NULL;NULL
32646;525;12;9,385;5594,033
36150;588;21;5,961;9864,1168
36152;345;21;5,757;5992,7045
37622;644;21;5,785;11132,2385
36163;242,72;20;6,27;3871,1324
36166;625;21;5,955999931;10493,62
34341;447;21;6,09500019;7333,88
36170;243;21;6,161;3944,1649
36173;391,8;21;5,757;6805,6279
36176;575,82;21;6,82;8443,1085
36201;1029;3;9,214;11167,7881
36205;655,86;5;5,855;11201,7079
35451;NULL;NULL;NULL;NULL
47110;600;21;5,895;10178,117
36221;NULL;NULL;NULL;NULL
36228;563,2;21;5,662;9947,0152
35800;NULL;NULL;NULL;NULL
36233;NULL;NULL;NULL;NULL
36236;NULL;NULL;NULL;NULL
36238;705;63;5,662;12451,4306
36242;NULL;NULL;NULL;NULL
34612;867;21;5,52;15706,5217
36246;NULL;NULL;NULL;NULL
36247;290,78;15;7,346;3958,3447
35392;429;5;6,258;6855,2253
34800;300;5;6,162;4868,5492
34197;4016;21;5,781;69468,95
35100;1800;21;5,652;31847,1338
36256;387;20;5,915;6542,6881
35536;210;21;6,075;3456,7901
36257;NULL;NULL;NULL;NULL
36264;1400;21;5,961;23485,9923
35665;801;21;5,96;13439,5973
36268;801;21;5,96;13439,5973
36275;NULL;NULL;NULL;NULL
36290;NULL;NULL;NULL;NULL
36294;NULL;NULL;NULL;NULL
36295;NULL;NULL;NULL;NULL
36311;NULL;NULL;NULL;NULL
36336;NULL;NULL;NULL;NULL
36344;210;21;6,124;3429,1313
36350;NULL;NULL;NULL;NULL
36351;56;21;6,275;892,4303
35988;NULL;NULL;NULL;NULL
35958;187,81;21;6,162;3047,8741
47798;225;21;5,776;3895,4294
35963;198;5;6,275;3155,3785
35997;450;12;9,693;4642,5255
35971;912;5;5,528;16497,8292
35970;NULL;NULL;NULL;NULL
35986;230;21;6,161;3733,1602
36141;327,5;21;5,757;5688,7268
35989;420;63;1,85;22702,7027
35994;NULL;NULL;NULL;NULL
35689;282,32;5;6,32;4467,0886
36036;933;21;5,558;16786,6139
36055;217,14;5;6,084;3569,0335
36085;40,85;4;8,17;500
36102;135;21;6,37;2119,3093
36113;933;21;5,961;15651,7363
36142;1500;21;5,594;26814,444
39515;312,25;21;5,769;5412,5498
36240;NULL;NULL;NULL;NULL
36183;NULL;NULL;NULL;NULL
36296;60;63;2,038;2944,0628
32483;NULL;NULL;NULL;NULL
36179;160;21;6,105;2620,8026
36262;1480;20;5,73;25828,9703
40541;177;21;6,057;2922,2387
36353;240;21;6,162;3894,8393
36343;483;21;6,028;8012,6078
36356;669;10;11,86;5640,8094
36357;NULL;NULL;NULL;NULL
36361;NULL;NULL;NULL;NULL
36364;NULL;NULL;NULL;NULL
36194;744;5;5,662;13140,2331
36182;1266;5;5,876;21545,2689
36375;NULL;NULL;NULL;NULL
36376;NULL;NULL;NULL;NULL
36380;NULL;NULL;NULL;NULL
36287;1890;21;5,594;33786,1995
36386;13,5;20;7,127;189,4205
36387;1927;20;5,864;32861,528
36388;750;21;5,921;12666,7793
36394;NULL;NULL;NULL;NULL
36403;NULL;NULL;NULL;NULL
36405;NULL;NULL;NULL;NULL
36409;NULL;NULL;NULL;NULL
36924;280;63;1,911;14652,0147
36418;393;21;6,26;6277,9553
36224;435;21;5,689;7646,335
36423;333;21;5,757;5784,2626
36293;NULL;NULL;NULL;NULL
36273;NULL;NULL;NULL;NULL
36424;288;20;6,311;4563,4606
35434;NULL;NULL;NULL;NULL
36429;NULL;NULL;NULL;NULL
35587;288;21;6,004;4796,8021
36431;231;20;5,757;4012,5065
36435;NULL;NULL;NULL;NULL
36436;168,25;20;6,73;2500
37212;655,5;21;5,89;11129,0323
38067;131;21;6,473;2023,7911
36263;NULL;NULL;NULL;NULL
37096;656;21;5,711;11486,6048
36445;385,5;21;5,751;6703,1821
36374;NULL;NULL;NULL;NULL
36449;2385;21;5,528;43143,9942
36453;NULL;NULL;NULL;NULL
36455;174,85;21;6,435;2717,1717
36402;516,8;21;5,921;8728,2554
36213;220;63;1,897;11597,2588
36461;NULL;NULL;NULL;NULL
36463;240;63;6,16;3896,1039
36131;799,5;21;5,698;14031,239
36464;340;60;5,967;5698,0057
36254;285;21;5,718;4984,2602
36465;157,13;20;6,899;2277,5765
35484;NULL;NULL;NULL;NULL
36160;270;5;5,983;4512,7862
36956;1740;17;NULL;24960,55
47129;1170;20;5,967;19732,77
34127;735;21;5,921;12413,4437
36175;43;36;3,363;1278,6203
36117;NULL;NULL;NULL;NULL
35796;1046,16;21;5,63;18581,8828
31135;1283,47;21;5,895;21772,1798
36252;2195,1;12;9,088;24153,8292
36276;180;21;6,039;2980,6259
36282;NULL;NULL;NULL;NULL
36291;NULL;NULL;NULL;NULL
36288;268,34;21;6,23;4307,2231
36292;120;21;6,408;1872,6592
36577;364,23;21;5,718;6369,8846
36309;1832;21;5,528;33140,3763
36466;300;20;5,915;5071,8512
36330;1246,5;8;13,605;9162,0728
36470;NULL;NULL;NULL;NULL
36509;NULL;NULL;NULL;NULL
36487;834;5;6,09;13694,5813
36366;381;5;6,39;5962,4413
36266;630;5;5,693;11066,2217
36265;780;5;6,028;12939,6151
36488;834;5;5,693;14649,5696
36492;438;21;5,662;7735,7824
36493;NULL;NULL;NULL;NULL
36508;1300;21;5,528;23516,6425
47141;435;39;9,048;4807,6923
36521;298;21;5,718;5211,6125
35703;NULL;NULL;NULL;NULL
36522;209;21;6,21;3365,5395
36529;120;20;6,608;1815,9806
36425;NULL;NULL;NULL;NULL
36533;365;21;5,795;6298,5332
35026;787;21;NULL;NULL
35881;350;63;5,921;5911,1637
36543;NULL;NULL;NULL;NULL
39195;1477,8;21;5,594;26417,5903
29704;320,9;20;6,317;5079,943
35911;361,95;21;6,09;5943,3498
36553;NULL;NULL;NULL;NULL
34435;NULL;NULL;NULL;NULL
36556;459;21;5,921;7752,0689
36559;NULL;NULL;NULL;NULL
36285;87;15;8,52;1021,1268
32836;81;12;10,12;800,3953
36563;456;20;5,73;7958,1152
36611;1721,5;21;5,52;31186,5942
35917;NULL;NULL;NULL;NULL
30692;71;5;2,121;3347,4776
27292;852;21;5,848;14569,0834
36566;141;21;6,435;2191,1422
34288;NULL;NULL;NULL;NULL
36587;1208;8;13,579;8896,0896
36243;1365;4;7,115;19184,8208
36586;1440;16;7,291;19750,3772
36593;1487;21;5,594;26582,0522
36232;NULL;NULL;NULL;NULL
36598;438;21;5,662;7735,7824
36601;1377;21;5,528;24909,5514
36603;1140;21;5,594;20378,9775
36612;150;21;6,408;2340,824
40120;NULL;NULL;NULL;NULL
35709;NULL;NULL;NULL;NULL
36258;4620;4;7,23;63900,4149
36625;590;16;7,103;8306,3494
34269;200;5;6,084;3287,311
36580;483;20;5,931;8143,652
36635;810;21;5,528;14652,6773
35705;450;63;5,662;7947,7217
36040;329,2;36;9,727;3384,394
36341;NULL;NULL;NULL;NULL
36345;NULL;NULL;NULL;NULL
36377;661;21;5,888;11226,2228
36378;NULL;NULL;NULL;NULL
36381;1050,6;21;5,594;18780,8366
36383;540;21;5,662;9537,266
36428;267,96;20;6,311;4245,9198
37654;6465;4;26;24865,3846
36523;NULL;NULL;NULL;NULL
35530;711,41;21;5,581;12746,9987
35357;3249;24;4,95;65636,3636
36576;2805;21;5,83;48113,2075
36595;136;21;6,408;2122,3471
36596;204,5;21;6,004;3406,0626
36600;138;21;6,408;2153,5581
36608;922;21;5,821;15839,2029
33730;504;21;5,9;8542,3729
36624;206,4;20;6,317;3267,3738
36362;85,25;20;6,66;1280,03
36145;460,5;20;5,937;7756,4426
36628;162;20;6,311;2566,9466
36641;NULL;NULL;NULL;NULL
36315;1450;63;5,594;25920,6292
36002;561,8;20;5,972;9407,2338
36643;420;21;5,757;7295,4664
33240;1905;60;5,761;33067,1758
36645;NULL;NULL;NULL;NULL
36646;874,5;21;6,1;14336,0656
36613;288;12;9,511;3028,0728
36740;2999,7;21;5,528;54263,7482
36651;763;21;5,74;13292,6829
34676;NULL;NULL;NULL;NULL
36652;1150;12;9,214;12481,0072
36785;137;21;6,039;2268,5875
36728;530;60;6,2;8548,3871
36669;NULL;NULL;NULL;NULL
36661;1794,56;17;6,741;26621,5695
36678;NULL;NULL;NULL;NULL
36683;99,6;21;6,408;1554,3071
36700;530,15;20;5,957;8899,6139
36715;175;63;6,124;2857,6094
36029;820,59;21;5,81196;14118,9891
35430;695,8;21;5,662;12288,9438
36726;75;20;6,608;1134,9879
36729;NULL;NULL;NULL;NULL
36734;656;12;9,214;7119,6006
36338;NULL;NULL;NULL;NULL
36738;10650;21;5,55;191891,8919
36848;48;16;8,16;588,2353
36747;NULL;NULL;NULL;NULL
36697;432;20;5,934;7280,0809
36757;492;20;5,8;8482,7586
36761;531;16;7,44;7137,0968
36762;NULL;NULL;NULL;NULL
36765;540;20;5,937;9095,5028
36766;1380;63;5,921;23306,8738
36770;267;24;4,57;5842,4508
36393;432;21;5,74;7526,1324
36214;360;20;5,996;6004,0027
36775;926,01;21;5,546;16697
36783;210;21;6,039;3477,3969
36784;502,27;21;5,693;8822,5891
36808;399;21;5,718;6978
37083;298,5;21;6,093;4899,0645
36699;499,5;21;5,921;8436,075
36606;NULL;NULL;NULL;NULL
36814;NULL;NULL;NULL;NULL
36342;NULL;NULL;NULL;NULL
36119;465;63;5,662;8212,6457
36801;NULL;NULL;NULL;NULL
36298;182,17;20;6,714;2713,2857
36816;NULL;NULL;NULL;NULL
36818;600;21;5,876;10211,0279
37110;699;36;9,214;7586,2817
36823;NULL;NULL;NULL;NULL
30498;NULL;NULL;NULL;NULL
34694;450;12;9,79;4596,5271
36828;NULL;NULL;NULL;NULL
38134;165,6;21;6,102;2713,8643
34477;NULL;NULL;NULL;NULL
36858;167;21;6,039;2765,3585
36867;80;21;6,105;1310,4013
36379;1269;17;7;18128,5714
36912;1659;17;6,971;23798,5942
36884;NULL;NULL;NULL;NULL
36885;689,8;21;5,662;12182,9742
36888;NULL;NULL;NULL;NULL
36896;650,76;21;5,711;11394,852
36891;142,5;21;6,03;2363,1841
36800;237;21;5,956;3979,1807
36917;NULL;NULL;NULL;NULL
36923;NULL;NULL;NULL;NULL
36927;60;14;6,877;872,4735
34406;NULL;NULL;NULL;NULL
36835;129;21;6,024;2141,4343
35384;390;21;5,662;6888,0254
36941;NULL;NULL;NULL;NULL
36944;435;16;6,907;6297,9586
36951;1722;21;5,554;31004,6813
36954;NULL;NULL;NULL;NULL
35209;423;60;6,115;6917,4162
36958;147;21;6,577;2235,0616
36959;4006,28;1;100;4006,28
36961;NULL;NULL;NULL;NULL
36976;632;10;11,715;5394,793
36725;NULL;NULL;NULL;NULL
36987;278,4;21;6,075;4582,716
37711;300;21;5,657;5303,1642
36993;180;60;12,959;1388,9961
36990;561;21;5,662;9908,1597
36996;NULL;NULL;NULL;NULL
37002;600;16;7,388;8121,2777
37004;207;60;6,311;3279,9873
37010;90;5;6,626;1358,2855
37015;282;21;5,718;4931,7943
37022;157,92;21;6,039;2615,0025
36745;171,9;21;6,162;2789,6787
37028;689;13;8,569;8040,6115
37029;464;20;5,972;7769,5914
36655;NULL;NULL;NULL;NULL
37034;336;21;5,718;5876,1805
35144;NULL;NULL;NULL;NULL
37041;519;36;9,384;5530,6905
31594;264;21;6,039;4371,5847
37043;145,48;20;6,591;2207,2523
37044;180;20;6,3;2857,1429
37049;NULL;NULL;NULL;NULL
37050;489;12;9,235;5295,0731
37052;2649;21;5,5;48163,6364
37065;NULL;NULL;NULL;NULL
36986;350;21;6,16;5681,8182
37067;1616;10;11,86;13625,6324
37068;195;10;11,86;1644,1821
37731;NULL;NULL;NULL;NULL
37075;102,6;21;6,408;1601,1236
37076;428,19;21;5,95;7219,24
37079;651;20;5,949;10943,0156
37055;NULL;NULL;NULL;NULL
37756;189;63;1,897;9963,0996
37092;210;21;6,075;3456,7901
37111;101,33;9;12,666;800,0158
35190;NULL;NULL;NULL;NULL
36443;1407;48;7,144;19694,8488
36226;1450;21;5,528;26230,1013
36253;1725;21;8,9;19382,0225
36502;654;21;5,698;11477,7115
36517;900;20;5,834;15426,8084
36528;392;20;5,934;6605,9993
36301;NULL;NULL;NULL;NULL
36547;1662;21;5,921;28069,5828
35919;357;21;5,757;6201,1464
36582;NULL;NULL;NULL;NULL
36519;681;21;6,03;11293,5323
36609;296;16;6;4933,3333
36616;660;12;9,379;7036,9975
26897;629,97;5;5,937;10610,9146
28631;NULL;NULL;NULL;NULL
35934;1563;21;5,59;27960,644
36644;360;21;5,9;6101,6949
36647;345;21;5,961;5787,6195
36649;522;21;5,821;8967,5314
36408;198;60;6,311;3137,3792
42310;3353,89;45;7,48;44838,1016
36664;NULL;NULL;NULL;NULL
46515;545;39;8,864;6148,4657
36731;460;63;5,698;8073,0081
47176;621,9;NULL;NULL;NULL
36778;327;5;5,951;5494,8748
35485;NULL;NULL;NULL;NULL
36827;727,52;21;5,698;12767,9888
36840;207;20;6,391;3238,9297
36842;2760;21;5,829;47349,4596
36735;1794;21;NULL;30536,17
36851;300;63;5,736;5230,1255
36850;162;20;6,39;2535,2113
36852;NULL;NULL;NULL;NULL
35589;NULL;NULL;NULL;NULL
35673;107,96;21;6,616;1631,8017
36857;300;21;5,718;5246,5897
47180;192;20;6,391;3004,2247
33469;NULL;NULL;NULL;NULL
36930;850;63;5,546;15326,3613
36965;203;16;7,6;2671,0526
35421;NULL;NULL;NULL;NULL
37121;450;12;9,79;4596,5271
37122;258;21;6,178;4176,1088
37127;678;63;5,581;12148,3605
35261;NULL;NULL;NULL;NULL
37130;NULL;NULL;NULL;NULL
44078;686;21;5,717;11999,3003
37139;204;21;6,039;3378,0427
37143;NULL;NULL;NULL;NULL
37144;NULL;NULL;NULL;NULL
37151;321;21;5,757;5575,8207
37154;288;21;6,25999;4600,6463
36670;71;20;6,648;1067,9904
37158;NULL;NULL;NULL;NULL
37145;97,5;20;6,292;1549,5868
36671;71;20;6,936;1023,6448
37169;420;21;5,757;7295,4664
37170;195;16;7,764;2511,592
37175;NULL;NULL;NULL;NULL
34850;886;21;5,57226;15900,1913
37190;1435,2;8;14;10251,4286
37192;842,7;21;5,6;15048,2143
37197;NULL;NULL;NULL;NULL
37216;672;21;6,028;11147,9761
36339;363;21;5,961;6089,5823
36144;1269,2;21;5,88;21585,034
37217;432;12;9,632;4485,0498
37219;1701;12;9,122;18647,2265
37224;2130;21;5,528;38531,1143
36369;300;21;5,718;5246,5897
36516;1771;16;7,308;24233,7165
40444;210;21;6,028;3483,7425
36454;138;21;5,768;2392,5104
36271;202,5;21;6,093;3323,486
36476;258;21;6,162;4186,9523
36478;NULL;NULL;NULL;NULL
36542;1125;20;5,834;19283,5105
36554;500;20;5,8548;8540,0014
36565;NULL;NULL;NULL;NULL
36578;300;21;5,757;5211,0474
36568;298;60;1,995;14937,3434
36579;210;21;6,075;3456,7901
35833;1320;21;5,594;23596,7108
36590;NULL;NULL;NULL;NULL
36591;296;60;1,955;15140,665
36385;276;21;5,956;4633,9825
36610;292;21;5,947;4910,0387
36615;438;21;5,693;7693,6589
36618;NULL;NULL;NULL;NULL
35681;237;21;6,039;3924,4908
36627;147;20;6,582;2233,3637
36630;NULL;21;NULL;NULL
36632;NULL;NULL;NULL;NULL
36636;111,06;21;6,084;1825,4438
36638;120;21;6,162;1947,4197
36640;420;21;5,757;7295,4664
36642;630;21;5,693;11066,2217
35584;494;21;5,693;8677,323
36679;1920;21;5,961000156;32209,36
36677;1000;21;5,594001887;17876,29
36702;NULL;NULL;NULL;NULL
37855;630;21;5,698;11056,5111
36978;225;63;6,057;3714,7103
36982;562;5;6,126;9174,0124
36994;NULL;NULL;NULL;NULL
37032;414;21;NULL;NULL
37033;NULL;NULL;NULL;NULL
36071;125;21;5,711;2188,7585
37045;66;20;6,936;951,5571
32442;651;20;6,391;10186,1993
37048;60;17;7,538;795,9671
37073;77;60;2,121;3630,363
33046;699;12;9,242;7563,298
37089;165;21;6,075;2716,0494
37091;122;21;5,989;2037,068
36920;415;20;6,116;6785,4807
36786;NULL;NULL;NULL;NULL
37061;146,5;21;NULL;2430,33
37129;300;63;5,757;5211
36680;309;21;5,718;5403,9874
37166;678;63;5,698;11898,9119
37168;NULL;NULL;NULL;NULL
37182;251;12;5,958;4212,8231
37222;240;12;9,414;2549,3945
37226;94,82;19;NULL;1325
37228;2700;21;5,7;47368,4211
37230;201;21;6,093;3298,8676
37231;NULL;NULL;NULL;NULL
37232;1002;20;6,063;16526,472
37233;807;21;5,594;14426,1709
37237;210;21;6,162;3407,9844
37240;560;12;9,379;5970,7858
37242;335,5;21;5,895;5691,2638
37244;NULL;NULL;NULL;NULL
37247;390;21;5,68;6866,1972
37250;1827;21;5,83;31337,9074
40753;288;21;6,162;4673,8072
41083;172;21;6,028;2853,351
41347;105;21;6,093;1723,289
40934;NULL;NULL;NULL;NULL
41352;366;48;7,592;4820,8641
41370;635;16;7,164;8863,7633
41372;635;16;7,164;8863,7633
41550;273;63;6,123;4458,5987
41385;795;21;5,573;14265,2072
41316;1100;16;7,05;15602,8369
39000;349;21;5,82;5996,5636
39212;NULL;NULL;NULL;NULL
41393;237;63;6,028;3931,6523
41403;180;3;9,871;1823,5235
41391;727;20;6,126;11867,4502
41165;NULL;NULL;NULL;NULL
41423;234;5;6,057;3863,2987
41425;NULL;NULL;NULL;NULL
41445;NULL;NULL;NULL;NULL
41306;270,78;5;6,391;4236,8956
41104;921;5;5,778;15939,7715
41465;1060,5;21;5,9;17974,5763
41478;210;21;5,736;3661,0879
41489;2060,16;20;5,886;35001,0194
40681;NULL;48;NULL;NULL
41490;3400;16;7,051;48220,1106
41491;195;21;6,028;3234,9038
40470;340,59;21;5,654;6023,8769
41492;788,19;21;5,614;14039,7221
41493;1410,06;21;5,574;25297,0936
41495;NULL;NULL;NULL;NULL
29891;NULL;NULL;NULL;NULL
41510;360;63;5,736;6276,1506
41522;NULL;NULL;NULL;NULL
41524;110;60;1,996;5511,022
41526;448,04;21;5,916;7573,3604
41527;110;60;1,996;5511,022
41048;1250;21;5,549;22526,5814
43482;750;63;5,652;13269,6391
41311;279;20;5,95;4689,0756
41399;177;21;6,435;2750,5828
41539;780;21;5,652;13800,4246
41164;954;5;5,908;16147,5965
41545;197;21;5,916;3329,9527
41552;150;20;6,6;2272,7273
41248;2946;5;NULL;50889,62
41555;140,38;21;6,346;2212,1021
41558;3000;5;NULL;51822,42
35353;594;5;5,892;10081,4664
41561;NULL;NULL;NULL;NULL
41434;130,8;NULL;6,36;2056,6038
41565;4254;21;5,42;78487,0849
41566;493,32;48;15,19;3247,6629
41567;150;20;NULL;2272,73
41568;319;21;5,711;5585,7118
41569;286;21;5,711;5007,8795
40742;180;21;6,028;2986,065
47143;225;21;5,776;3895,4294
41582;6660;21;5,5;121090,9091
41585;177;21;6,028;2936,2973
41599;255,48;20;6,292;4060,3942
41592;150;21;6,028;2488,3875
41704;1035;5;6,022;17186,9811
41620;85,8;20;6,6;1300
41600;153;21;6,028;2538,15
41638;807;10;11,042;7308,4586
41474;NULL;NULL;NULL;NULL
41655;NULL;NULL;NULL;NULL
41373;325,56;21;5,75;5661,913
41292;111,68;16;6,24271;1788,9667
41293;155;63;1,895;8179,4195
41512;199,8;NULL;6,66;3000
41521;3651;20;5,778;63187,9543
41659;NULL;NULL;NULL;NULL
41536;151,36;21;6,1;2481,3115
41557;194,5;21;5,983;3250,8775
47712;1314,81;21;4;24039,59
41672;78;60;6,626;1177,1808
54520;299,76;21;5,817;5153,1717
39952;NULL;NULL;NULL;NULL
41678;825;21;5,545;14878,2687
41880;178,98;21;6,028;2969,144
40666;1575;60;5,8369;26983,5015
41604;123;21;5,9;2077,35
40116;150,7;NULL;NULL;602,8
54510;7411,92;16;7,1796927607;103234,45
41694;792;21;5,683;13936,3012
41668;360;21;6,162;5842,259
41706;110,2;21;6,36;1732,7044
41708;183,4;60;1,975;9286,07
39542;115,5;5;NULL;1937,59
41605;201;21;6,028;3334,4393
41627;387;21;5,825;6643,7768
41763;217;21;6,028;3599,8673
42625;NULL;NULL;NULL;NULL
41767;NULL;NULL;NULL;NULL
41773;600;21;5,698;10530,0105
41735;81;21;NULL;1264,49
41778;584,98;21;5,652;10349,9646
44037;390;20;5,95;6504,59
54747;91,59;20;5,8768227527;1558,5
41784;288;20;6,265;4596,9673
40914;662,64;12;8,77;7555,7583
41785;NULL;NULL;NULL;NULL
41793;NULL;NULL;NULL;NULL
41846;79,89;60;2,15;3715,814
41770;NULL;NULL;NULL;NULL
41852;387;21;5,736;6746,8619
41554;967;21;5,546;17435,9899
41860;NULL;NULL;NULL;NULL
41863;2210;21;5,588;39549,0336
41686;82;20;6,626;1237,549
41870;885;60;5,778;15316,7186
42094;988,05;48;7,46588;13234,2
41227;1954;16;7,195;27157,7484
41886;234,48;21;5,951;3940,1781
44417;1650;21;5,49;30054,6448
41893;NULL;NULL;NULL;NULL
41894;723;16;7,406;9762,3548
41895;1120;10;11,304;9907,9972
41896;3640;10;11,304;32201
41901;NULL;NULL;NULL;NULL
41699;371;63;6,23;5955,0562
40443;2298;12;9,376;24509,3857
41909;139,2;63;1,915;7268,9295
41910;265,5;63;6,028;4404,4459
41911;NULL;NULL;NULL;NULL
41573;NULL;NULL;NULL;NULL
41912;405;12;9,473;4275,3088
41916;153;21;6,028;2538,1553
41815;1191;21;5,546;21474,9369
41816;1845;21;5,5;33545,4545
41926;NULL;NULL;NULL;NULL
41929;54;60;2,129;2536,4021
41801;1275;21;5,908;21580,9072
41936;145;20;6,626;2188,3489
41667;327;21;5,68;5757,0423
41701;237;21;6,162;3846,1538
41729;110;21;6,028;1824,8175
41653;570,57;5;5,892;9683,8086
41753;138,19;12;9,871;1399,9595
41830;561;21;5,73;9790,5759
41853;1560;21;5,908;26404,8747
41941;201,05;21;6,162;3262,7394
41944;NULL;NULL;NULL;NULL
41940;105;20;6,6;1590,9091
41947;800;10;11,304;7077,1408
41948;1235;21;5,549;22256,2624
41629;NULL;NULL;NULL;NULL
41958;NULL;NULL;NULL;NULL
40106;1062;20;6,022;17635,3371
41871;297,51;5;5,95;5000,1681
41966;NULL;NULL;NULL;NULL
41979;282;21;5,99;4707,8464
41666;NULL;NULL;NULL;NULL
41985;3150;21;5,9;53389,8305
41986;188,76;20;6,292;3000
41786;NULL;NULL;NULL;NULL
41989;325;20;6,5;5000
41991;40;60;3,302;1211,387
41745;475;21;5,652;8404,1047
41937;215;63;6,2;3467,7419
41757;180;63;5,869;3066,962
41946;420;48;5,951;7057,6374
41017;993,45;60;1,934;51367,6319
36004;4859,2;21;5,499;88365,1573
42008;NULL;NULL;NULL;NULL
42010;877,8;21;5,9;14877,9661
42014;138;20;6,732;2049,9109
42197;1057,62;21;5,96;18269,48
41872;NULL;NULL;NULL;NULL
42016;89;12;9,193;968,1279
42017;190;21;6,028;3151,9575
42019;3750;21;5,546;67616,3
42020;110;12;9,193;1196,5626
42022;297;12;9,511;3122,7
41854;189;20;6,292;3003,8144
42029;NULL;NULL;NULL;NULL
41990;387,5;12;6,16;6288,54
41887;NULL;NULL;NULL;NULL
42042;123,92;21;6,44;1925,79
41707;NULL;NULL;NULL;NULL
42007;NULL;NULL;NULL;NULL
38837;16413;36;9,024;181881,6489
41498;300;13;8,79;3412,96
41930;1882;21;5,533;34014,0972
41663;585;21;5,68;10299,2958
42054;NULL;NULL;NULL;NULL
42055;1208;16;7,164;16862,0882
42058;NULL;NULL;NULL;NULL
42060;324;21;5,736;5648,5356
42050;243;21;6,028;4031,1878
42062;2746,08;21;5,546;49514,6051
42068;181;212;5,961;3036,4033
41731;324;21;5,921;5472,0486
42067;138,6;21;6,095;2273,9951
41800;137;21;6,028;2272,7273
38620;240;21;6,23;3852,3274
42072;NULL;NULL;NULL;NULL
41614;NULL;NULL;NULL;NULL
42073;672;21;5,652;11889,5966
42076;NULL;NULL;NULL;NULL
42077;150;21;6;2500
42078;NULL;NULL;NULL;NULL
40899;669;13;8,65695552;7727,89
42080;541;21;5,7305;9440,712
41756;176,64;21;5,888;3000
42123;404;21;5,681;7111,424
41817;3027;16;7,206;42006,6611
41775;NULL;NULL;NULL;NULL
41776;NULL;NULL;NULL;NULL
41783;480;21;5,68;8450,7042
41792;1060;21;5,549;19102,541
41805;66;60;6,626;996,0761
41838;NULL;NULL;NULL;NULL
41828;288;21;5,961;4831,4041
