siren;reference contrat;date debut;montant;durée;terme;echeance;loyer intercalaire;reste;montant prestation;Périodicité;incident de paiement;reloc;assurance;matricule;entité;affichage;raison sociale;leaser;ref leaser;montant fin client
411950546;25768;01/07/2018;7 098.23;66;1;382.59;0;1.00;149.91;TRIMESTRE;NON;NON;31.15;C718R411086;18;0;PRM PEINTURE REVETEMENT MODERNE;bnp;A1B34468;7634.16
402348080;26088;01/10/2018;26 343.13;36;1;2388.00;0;1.09;0.00;TRIMESTRE;NON;NON;111.04;W2J8516272;18;0;OPCA TRANSPORTS;bnp;A1B39640;27215.61
423438084;26329;01/10/2018;13 220.72;63;1;730.44;0;1.00;0.00;TRIMESTRE;NON;NON;57.71;W2W8647818;18;0;MSD 3D-ILE-DE-FRANCE;bnp;A1B51785;14144.46
785423849;25633;01/10/2018;73 360.82;63;1;3900.59;0;1.00;3 395.41;TRIMESTRE;NON;NON;0;5028813012K4P;18;0;MAISON SANTE PROTESTANTE;bnp;A1B57422;75993.14
378129613;26621;01/10/2018;11 277.18;63;1;629.29;0;1.00;231.71;TRIMESTRE;NON;NON;49.13;W2W8545332;18;0;LA MANUFACTURE DEVIALET;bnp;A1B65967;12040.52
390549780;26836;01/10/2018;34 252.28;63;1;1839.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;16990;18;0;SODICO EXPANSION;bnp;A1B80024;35694.08
494004351;25569;01/10/2018;8 705.88;63;1;485.00;0;1.02;0.00;TRIMESTRE;NON;NON;0;W2S8542093;18;0;LES PARENTELES DE LA RUE BLANCHE;bnp;A1B95501;9279.96
443462338;27096;01/01/2019;3 198.42;36;1;297.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;BALB0079;18;0;KOITO CZECH S.R.O;bnp;A1B95708;3408.41
333977114;27449;01/01/2019;34 103.28;63;1;1831.00;0;1.00;1 023.91;TRIMESTRE;NON;NON;0;G696M932325;18;0;CTRE INT BAGNOLET OEUVRES CHOREGRAPHIQUES;bnp;A1C14616;35538.81
391244662;27632;01/01/2019;8 276.69;63;1;461.09;0;1.00;138.91;TRIMESTRE;NON;NON;0;W2S8949333;18;0;UNION SPORTIVE MOISSY CRAMAYEL;bnp;A1C23090;8929.02
408224574;27631;01/01/2019;8 975.14;63;1;500.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;C718R712345;18;0;ENTREPRISE GENERALE DE CONSTRUCTION ET RENOVATION;bnp;A1C23094;9682.45
330189812;185;01/01/2014;11 636.55;63;1;657.00;0;1.00;0.00;TRIMESTRE;NON;OUI;0;E153M833580;18;0;UNION DEPARTEM FORCE OUVRIERE;bnp;V0122295;12111.75
433503984;279;01/01/2014;5 262.38;48;1;381.00;0;1.00;0.00;TRIMESTRE;NON;OUI;18.27;NUZ3714373;18;0;SUEZ EAU INDUSTRIELLE;bnp;V0136815;5536.49
775660087;995;01/04/2014;6 740.88;63;1;388.00;0;1.00;0.00;TRIMESTRE;NON;NON;23.61;NUZ2702487;18;0;ANPAA;bnp;V0199264;7153.10
453274482;1242;01/07/2014;44 679.70;63;1;2469.00;0;1.00;0.00;TRIMESTRE;NON;NON;150.19;AACG8464;18;0;CAAHMRO GROUPE;bnp;V0220422;45513.55
219101300;1597;01/07/2014;12 257.96;63;1;699.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E153MC31466;18;0;COMMUNE DE CHALO SAINT MARS;bnp;V0247988;12633.24
799680780;1874;01/04/2014;6 254.43;63;1;360.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W793PC01975;18;0;INDYCH PATRICK GERARD;bnp;W0014040;6636.96
197713423;1962;10/04/2014;30 105.05;63;1;1680.24;0;1.00;0.00;TRIMESTRE;NON;NON;0;L7U3702812;18;0;COLLEGE FERNAND GREGH;bnp;W0021528;30366.43
775693385;2162;01/04/2014;5 746.44;63;1;330.76;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD3Y04751;18;0;LIGUE ADAPT DIMINUE PHYSIQUE AU TRAVAIL;bnp;W0037891;6097.96
482343100;2278;01/04/2014;2 210.82;63;1;133.26;0;1.01;0.00;TRIMESTRE;NON;NON;0;W3048503948;18;0;JACQUES CHRISTINE;bnp;W0040410;2468.37
326716537;2215;01/10/2014;3 532.85;60;1;216.18;0;1.00;0.00;TRIMESTRE;NON;NON;15;75260394418XC;18;0;SOCOMIX;bnp;W0043625;3820.35
775683006;2269;01/04/2014;4 844.47;63;1;285.00;0;1.00;0.00;TRIMESTRE;NON;NON;19.07;E153MC33884;18;0;FONDATION SANTE DES ETUDIANTS DE FRANCE;bnp;W0046402;5254.44
448643288;2188;24/03/2014;891.90;63;1;54.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;V1S3Z06386;18;0;MAISONS ALFORT HABITAT;bnp;W0047371;976.72
314667924;2515;01/07/2014;3 786.75;63;1;225.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;LHD4208966;18;0;ASS PORTUGAISE CULTURELLE SOCIALE;bnp;W0063399;4107.31
433503984;2557;26/05/2014;8 002.96;48;1;591.00;0;1.00;0.00;TRIMESTRE;NON;OUI;0;TASK4551CI;18;0;SUEZ EAU INDUSTRIELLE;bnp;W0067159;8418.06
177700010;2597;01/06/2014;7 534.13;63;1;438.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E174J100378;18;0;PREFECTURE DE SEINE ET MARNE;bnp;W0070636;7916.44
404857922;1941;01/07/2014;801.72;57;1;52.90;0;1.00;0.00;TRIMESTRE;NON;OUI;15;191113AA1;18;0;LE BOURDONNEC CARIMALO PERROT-GAULON;bnp;W0082229;887.71
489912493;2991;01/07/2014;3 008.75;63;1;177.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;V1S4420666;18;0;IVANKA SARL;bnp;W0098762;3270.59
381539022;3021;01/10/2014;3 569.68;63;1;210.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;LCB4108225;18;0;ASS CULTUR EGLISE REFORMEE FONTAINEBLEAU;bnp;W0100777;3880.35
