56500820;7631
62502257;16648
62502257;12785
62502257;10937
62502257;8907
69502037;18074
72502909;18694
73503914;28429
176901304;22866
200023364;22308
200040509;5569
210702395;9695
212600779;5544
213802614;27883
217401736;1283
240700641;25058
243800083;5542
253803084;28974
262601818;4106
263800393;28521
264202219;27163
300235488;23288
300917515;30623
301193389;23824
301272811;29072
301771192;5658
302830864;28594
304688922;8294
306140039;22697
306647702;29860
306647702;29860
308767714;28775
315781963;8209
318517398;2607
319468120;22766
322428954;16737
325061844;28719
327746020;14732
328877519;1855
339912941;9530
348205543;802
350064614;27600
350602504;3157
350602504;3157
351021332;29015
352159594;28378
353009301;28396
353009301;28396
379899925;26140
379899925;26140
380419432;16049
380492009;23593
381130640;25062
381399419;7944
382487288;29999
383978426;28492
385247440;1818
389795006;22332
390220119;27217
390432359;15198
390432359;15198
390662393;3051
390662393;3051
390662393;3051
390662393;3051
390905586;30435
391066818;28564
391386471;26648
391854742;21206
392691879;17558
395060262;7287
397679325;30431
399800093;26520
402934020;268
403062367;25763
403293582;13115
410355432;27891
410355432;27891
414355107;10722
418297081;28610
423367804;30016
424402196;17627
428213284;6495
428579254;28459
428979629;22446
431743343;28359
431866367;1285
432279222;23019
432721017;11421
434469102;21128
434989497;12154
434997219;9005
437181050;23860
437588254;22651
438694267;20940
438907842;9345
439239179;22753
439853516;24897
441899523;27336
442404356;24546
442404356;24618
442807871;18403
442807871;18403
442807871;18403
444162812;14040
444479224;28381
444479224;28381
444603039;3618
444736342;21816
445172968;1811
448602102;28628
448602102;28628
450536107;18468
451465009;27454
452447634;20622
478667488;24041
478884851;26953
478927007;30062
479179509;27029
481630911;28404
482716909;22929
482860715;2669
482861184;2797
483204798;26542
483897922;7955
483929048;27460
484045414;7248
490475035;22512
490521101;3135
490593662;30284
491920427;3135
493073464;26445
497616052;30453
497645473;29459
500424171;26653
500911656;20573
500972088;11609
503964843;28568
508646130;20239
509054243;1208
509646113;19688
511538118;18364
512303744;17929
512516329;26478
512668450;30461
512842378;2684
513016360;27947
519253892;18639
522055243;25220
522444413;5543
523509487;28804
527964290;8337
528007339;24211
529300055;23743
530216100;24432
530265933;22423
530374347;28757
532392123;16006
533471678;18653
533471678;28959
533506382;9344
533832184;16388
538520735;25358
539271635;25288
539323881;4380
622012540;4078
694500729;26818
750536443;26352
752280214;24417
752467746;21877
752479691;19096
752983866;28825
776437766;27397
776437766;27397
776466625;27334
776466625;27334
776473605;27318
776473605;27318
776473605;27318
776529844;14708
776529844;13095
776591117;26381
776629578;14590
777997214;14539
779475060;18167
779557982;8103
779562594;28345
779719442;12492
789414612;2889
789706397;14966
789823267;21877
790079008;8768
791852320;30893
792871493;9412
792871493;9412
799290457;27185
801300765;30513
803933175;27394
804961878;27118
887150381;27726
961504974;23074
996320065;24489
