Contrat;Contrat Leaser;Affaire;Nature;Client;Leaser;EchÃ©ance Client < EchÃ©ance Leaser;EchÃ©ance client non facturÃ©e ;Facture Client < Facture leaser ;Facture Client impayÃ©e ;Facture Client < Loyer client;Duree;Montant;Echeance;Prochaine;Debut;Fin;Facture Materiel;Visa rentabilitÃ© Ã©chÃ©ance;RentabilitÃ© PrÃ©visionnelle;RentabilitÃ© Attendue;RentabilitÃ© RÃ©elle
2020626;201679-F0;002-72242;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;21;1751,8299560547;120;05/07/2016;05/01/2015;04/04/2020;2324324;Non;460,75 â‚¬ / 26.30 %;175,18 â‚¬ / 10.00 %;135,00 â‚¬ / 7.71 %
2020634;209256-F0;002-67782;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;12;859,5100097656;87;05/07/2016;05/01/2015;04/01/2018;232 133 902 324 300;Non;110,41 â‚¬ / 12.85 %;85,95 â‚¬ / 10.00 %;-119,22 â‚¬ / -13.87 %
2020643;202437-F0;002-72178;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Oui;Non;Non;Non;Non;60;6764,7099609375;161;01/05/2016;08/01/2015;31/01/2020;232 439 102 326 262;Non;1 967,49 â‚¬ / 29.08 %;811,77 â‚¬ / 12.00 %;746,20 â‚¬ / 11.03 %
4062523;W0224431;004-72187;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Non;Oui;Non;Non;Non;22;13626,23046875;722,19;01/07/2016;07/01/2015;30/09/2020;4932000;Non;875,54 â‚¬ / 6.43 %;1 635,15 â‚¬ / 12.00 %;-2 862,54 â‚¬ / -21.01 %
02017892-BIS;U0248197;002-56284;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Oui;Non;Non;Non;Non;-1;0;-1;01/04/1995;;30/09/1969;2273558;Non;-19 547,62 â‚¬ / 0.00 %;0,00 â‚¬ / 12.00 %;-9 774,31 â‚¬ / 0.00 %
3076504;CTR-033466/0001;004-72067;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;12;2602,7099609375;249,99;05/07/2016;05/01/2015;04/01/2018;3842499;Non;124,08 â‚¬ / 4.77 %;260,27 â‚¬ / 10.00 %;-187,95 â‚¬ / -7.22 %
2020675;286194-E0;002-69498;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;22;5038,1298828125;277,5;01/07/2016;14/01/2015;30/09/2020;2324593;Non;855,89 â‚¬ / 16.99 %;604,58 â‚¬ / 12.00 %;-1 036,48 â‚¬ / -20.57 %
4062552;274566-E0;004-72048;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;22;12304,389648438;676,2;01/07/2016;14/01/2015;30/09/2020;4932190;Non;2 074,24 â‚¬ / 16.86 %;1 476,53 â‚¬ / 12.00 %;-2 579,77 â‚¬ / -20.97 %
4062488;AK2730;004-72286;INTERNE;C'PRO Groupe;GE CAPITAL EQUIPEMENT FINANCE MANDATEE;Oui;Non;Non;Non;Non;54;40296,828125;867,05;01/05/2016;01/01/2015;30/06/2019;;Non;2 593,23 â‚¬ / 6.44 %;4 835,62 â‚¬ / 12.00 %;-407,56 â‚¬ / -1.01 %
2021184;AH6697;002-71406;INTERNE;C'PRO Groupe;GE CAPITAL EQUIPEMENT FINANCE MANDATEE;Non;Oui;Non;Non;Non;16;120994,5703125;8670,47;01/07/2016;01/01/2015;31/12/2018;2323193;Non;7 347,61 â‚¬ / 6.07 %;14 519,35 â‚¬ / 12.00 %;-1 877,39 â‚¬ / -1.55 %
