N° dossier Hexapage;N° fact HF;Leaser;Client final;SIREN;Fournisseur / Adhérent;Groupe;N° fact Adh;Facture HF HT;N° contrat Leaseur;MF HEXAPAGE
10314;5539;BNP PARIBAS LEASE GROUP;Maître Franc Soulères Notaire;437730492;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;19 142,84 €;X0221479;18369,88
10328;5543;BNP PARIBAS LEASE GROUP;Malogaje SNC Tabac Presse;750163057;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 443,39 €;X0221405;6033,6
10329;5298;BNP PARIBAS LEASE GROUP;Loisirs Educ Citoyenn GD sud;529835829;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;2 064,88 €;X0185542;1842,85
10334;5281;BNP PARIBAS LEASE GROUP;Bettega et Fils;323838557;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;2 954,86 €;X0202535;2711,71
10347;5306;BNP PARIBAS LEASE GROUP;Service de Santé au Travail - SAMSI;776938862;Perret Bureautique;Groupe BCMP;;19 864,48 €;X0205686;19062,42
10427;5542;BNP PARIBAS LEASE GROUP;Auto St Cyprien;399154079;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;13 861,85 €;X0189350;13179,77
10442;5492;BNP PARIBAS LEASE GROUP;Commune d'Auzeville;213100357;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;18 988,35 €;X0200129;18662,24
10476;5816;BNP PARIBAS LEASE GROUP;Conseil Archit Urban Envir H G;325139178;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;76 329,48 €;X0191752;74745,26
10499;5420;BNP PARIBAS LEASE GROUP;SCP DRS Perineau Meynie Gyneco;400994273;Perret Bureautique;Groupe BCMP;;17 951,97 €;X0213371;17227,05
10512;5546;BNP PARIBAS LEASE GROUP;Jean Jacques Hervé;339887390;Perret Bureautique;Groupe BCMP;;8 673,46 €;X0192344;8175,74
10516;5435;BNP PARIBAS LEASE GROUP;Construire Demain;401144472;Perret Bureautique;Groupe BCMP;;19 769,80 €;X0192608;18971,56
10559;5493;BNP PARIBAS LEASE GROUP;Cabinet Jacques Boudaud;311055214;Perret Bureautique;Groupe BCMP;;30 121,76 €;X0218900;28885,42
10576;6134;BNP PARIBAS LEASE GROUP;Instep Midi Pyrénées;353087653;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;117 235,86 €;Y0035269;114422,92
10610;5282;BNP PARIBAS LEASE GROUP;Taquipneu;317576890;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;2 727,64 €;X0196004;2503,12
10619;5678;BNP PARIBAS LEASE GROUP;Commune de Vigueron;218201937;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;1 643,22 €;X0197120;1532,13
10623;6310;BNP PARIBAS LEASE GROUP;Aero Immobilier;381252766;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;47 077,44 €;X0196460;45234,7
10677;5494;BNP PARIBAS LEASE GROUP;Colombe;798888368;Perret Bureautique;Groupe BCMP;;12 389,97 €;X0218638;11780,25
10692;5571;BNP PARIBAS LEASE GROUP;AQCF;439906850;Perret Bureautique;Groupe BCMP;;5 761,14 €;X0222607;5394,66
10709;7214;BNP PARIBAS LEASE GROUP;ITER ORGANISATION - RBC;480616796;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;18 243,28 €;Y0095855;17445,12
10711;5467;BNP PARIBAS LEASE GROUP;Garage Heins;528532906;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;1 852,80 €;X0199144;1653,5
10761;5625;BNP PARIBAS LEASE GROUP;GICA Immobilier;403202849;Perret Bureautique;Groupe BCMP;;47 611,27 €;X0201234;45891,82
10779;5609;BNP PARIBAS LEASE GROUP;Pharmatic;390720563;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 099,86 €;X0201647;4827,86
10787;5626;BNP PARIBAS LEASE GROUP;ASB Conseil;452242803;Perret Bureautique;Groupe BCMP;;9 942,15 €;X0201990;9371,74
10844;5468;BNP PARIBAS LEASE GROUP;Ecophere;429146194;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;1 932,33 €;X0204045;1724,51
10846;5545;BNP PARIBAS LEASE GROUP;CBM Selarl;403664162;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 760,95 €;X0221335;6331
10852;5507;BNP PARIBAS LEASE GROUP;Assoc Reso IM PRO Lamarck;775581242;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;32 858,77 €;X0204355;32146,92
10853;5540;BNP PARIBAS LEASE GROUP;Réso Résilience Occitane;775581242;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;8 692,39 €;X0204367;8193,58
10857;5629;BNP PARIBAS LEASE GROUP;Le Bart Jean;529510844;Perret Bureautique;Groupe BCMP;;9 184,72 €;X0204636;8529,72
10863;5927;BNP PARIBAS LEASE GROUP;Soum Boudin;314619578;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;3 867,86 €;X0204742;3546,04
10882;5506;BNP PARIBAS LEASE GROUP;CBM Selarl;403664162;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 556,06 €;X0219883;7075,62
10883;5862;BNP PARIBAS LEASE GROUP;CTDI;720800598;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;13 876,49 €;X0205277;13179,77
10900;5630;BNP PARIBAS LEASE GROUP;DG Diffusion;343269130;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;9 641,07 €;X0205887;9087,91
10904;7228;BNP PARIBAS LEASE GROUP;GIE AXEO FM;535332605;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;43 987,52 €;Y0095696;42797,64
10939;5929;BNP PARIBAS LEASE GROUP;Asterarchi- Aster Architecture;500235528;Perret Bureautique;Groupe BCMP;;11 217,95 €;Y0021441;10654,57
10943;5547;BNP PARIBAS LEASE GROUP;A propos;394637979;Perret Bureautique;Groupe BCMP;;11 741,05 €;X0207315;10998,28
11040;5775;BNP PARIBAS LEASE GROUP;Mapad-Plénitude ST Michel;412985772;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;8 054,43 €;Y0009198;7584,16
11044;5631;BNP PARIBAS LEASE GROUP;CPES Ipress;445373632;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;14 089,08 €;X0211115;13395,84
11096;5628;BNP PARIBAS LEASE GROUP;SCP Cadet;400994273;Perret Bureautique;Groupe BCMP;;1 421,07 €;X0213371;1268,04
11141;5890;BNP PARIBAS LEASE GROUP;Cazauxoliv-SCP OLIVIER CAZAUX;494135478;Perret Bureautique;Groupe BCMP;;10 165,90 €;Y0017051;9572,56
11209;5968;BNP PARIBAS LEASE GROUP;Autosecour;326801685;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 902,85 €;X0218414;4495,12
11227;6168;BNP PARIBAS LEASE GROUP;Mutuelle du Rempart;776950537;Perret Bureautique;Groupe BCMP;;76 958,60 €;X0217805;75361,32
11230;6135;BNP PARIBAS LEASE GROUP;Afpimpbeauz;423847532;Perret Bureautique;Groupe BCMP;;65 719,87 €;Y0034983;64448,96
11249;5989;BNP PARIBAS LEASE GROUP;Communauté de Communes Cœur Lauragais;243100880;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;12 267,21 €;X0219926;11915,21
11256;5763;BNP PARIBAS LEASE GROUP;France Sécurité Distribution;491387965;Perret Bureautique;Groupe BCMP;;8 718,64 €;X0218988;8209,65
11288;6534;BNP PARIBAS LEASE GROUP;AFPIMPBEAUZ;423847094;Perret Bureautique;Groupe BCMP;;83 817,66 €;X0221245;82025,99
11298;6772;BNP PARIBAS LEASE GROUP;somepose;312330590;Perret Bureautique;Groupe BCMP;;15 506,92 €;Y0079034;14692,2
11321;5679;BNP PARIBAS LEASE GROUP;Les Thereses;420804940;Perret Bureautique;Groupe BCMP;;3 168,03 €;Y0001880;2908,3
11338;5774;BNP PARIBAS LEASE GROUP;Cabinet Jérome De Bardies;337660732;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 199,42 €;X0221797;5798,98
11347;5892;BNP PARIBAS LEASE GROUP;00460-Dom Santé;451392930;Perret Bureautique;Groupe BCMP;;12 501,25 €;Y0016679;11873,5
11391;6295;BNP PARIBAS LEASE GROUP;Taquipneu;317576890;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;16 761,08 €;Y0005789;16027,71
11454;5889;BNP PARIBAS LEASE GROUP;Regiequart 11;421554106;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;39 045,85 €;Y0002415;38097,97
11477;6046;BNP PARIBAS LEASE GROUP;Gestion 31;500270608;Perret Bureautique;Groupe BCMP;;8 019,17 €;Y0003854;7550,96
11588;6591;BNP PARIBAS LEASE GROUP;ADEPAD;454000753;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;8 192,38 €;Y0065990;7783,49
11594;6136;BNP PARIBAS LEASE GROUP;Aeroclub de L'Enac;320816689;Perret Bureautique;Groupe BCMP;;3 867,86 €;Y0007464;3546,05
11630;7052;BNP PARIBAS LEASE GROUP;MIDI DIESEL ELECTRO ACCESSOIRES;311675961;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;10 414,60 €;Y0008679;9667,45
11643;6081;BNP PARIBAS LEASE GROUP;Admr Muret Association;484924311;Perret Bureautique;Groupe BCMP;;6 148,05 €;Y0032058;5750,92
11672;6980;BNP PARIBAS LEASE GROUP;ESPACE STORES;387671639;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;25 312,20 €;Y0011988;24205,06
11721;6082;BNP PARIBAS LEASE GROUP;MBT;419962832;Perret Bureautique;Groupe BCMP;;7 066,45 €;Y0032070;6610,12
11724;5930;BNP PARIBAS LEASE GROUP;Loubatimmo;344618046;Perret Bureautique;Groupe BCMP;;3 128,59 €;Y0012432;2868,15
11758;6687;BNP PARIBAS LEASE GROUP;Docteur Assouline;490921459;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;15 848,97 €;Y0013640;15155,46
11808;6104;BNP PARIBAS LEASE GROUP;SPL Arpe Midi Pyrenées;809415243;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;113 920,75 €;Y0034316;110358,88
11809;6625;BNP PARIBAS LEASE GROUP;Consulat d'Allemagne;326142718;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;3 421,35 €;Y0015517;3128,88
11887;6255;BNP PARIBAS LEASE GROUP;Carif;341928372;Perret Bureautique;Groupe BCMP;;37 905,85 €;Y0044915;36985,63
11907;6133;BNP PARIBAS LEASE GROUP;Oxygen;808606123;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;1 123,36 €;X0178302;1045,57
11940;6451;BNP PARIBAS LEASE GROUP;MMA Peres Assurances;794111492;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 105,43 €;Y0020541;3754,65
11945;6734;BNP PARIBAS LEASE GROUP;Benayoun Denis;403276546;Perret Bureautique;Groupe BCMP;;7 031,82 €;Y0020559;6561,53
11954;7598;BNP PARIBAS LEASE GROUP;SOPLA;302265095;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 664,38 €;Y0037730;7324,27
11976;6435;BNP PARIBAS LEASE GROUP;LEP Le Saves;776838237;Perret Bureautique;Groupe BCMP;;87 233,57 €;Y0057739;85188,11
11998;6716;BNP PARIBAS LEASE GROUP;COLLEGE BELLEVUE;193100922;Perret Bureautique;Groupe BCMP;;10 815,31 €;Y0023960;10647,23
12064;6450;BNP PARIBAS LEASE GROUP;Ryckwaert SELARL;400742847;Perret Bureautique;Groupe BCMP;;4 257,45 €;Y0058519;3893,7
12110;6394;BNP PARIBAS LEASE GROUP;Soc D'Exploitation Escabout;392056131;Perret Bureautique;Groupe BCMP;;3 034,26 €;Y0054056;2774,81
12182;6228;BNP PARIBAS LEASE GROUP;SCP Vincent Cheze;494734460;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 370,02 €;Y0030122;5958,59
12232;6654;BNP PARIBAS LEASE GROUP;Gamma Conception;489944108;Perret Bureautique;Groupe BCMP;;6 841,80 €;Y0031937;6384,19
12281;6590;BNP PARIBAS LEASE GROUP;Branger Romeu;316226331;Perret Bureautique;Groupe BCMP;;11 451,79 €;Y0065645;10849,93
12286;6294;BNP PARIBAS LEASE GROUP;Sotodex;528443054;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;10 946,33 €;Y0033908;10370,99
12318;6548;BNP PARIBAS LEASE GROUP;Promotion Toma and Co;493596563;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;1 682,62 €;Y0035224;1496,28
12322;6436;BNP PARIBAS LEASE GROUP;Serige;321715062;Perret Bureautique;Groupe BCMP;;26 357,33 €;Y0057763;25204,52
12345;7180;BNP PARIBAS LEASE GROUP;CRAVERO MOTOCULTURE;440381499;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 992,85 €;Y0105755;4566,4
12347;7408;BNP PARIBAS LEASE GROUP;DECO DIFFUSION;352449532;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 506,76 €;Y0120810;4121,76
12350;6623;BNP PARIBAS LEASE GROUP;Sud Eco Watt;492784111;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 793,52 €;Y0067705;6339,15
12380;6512;BNP PARIBAS LEASE GROUP;Solea Centrale;382867794;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;30 680,64 €;Y0062329;29259,22
12382;6624;BNP PARIBAS LEASE GROUP;Sentenac;319149878;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 967,81 €;Y0067727;4676,29
12399;6786;BNP PARIBAS LEASE GROUP;l'offis;453956914;Perret Bureautique;Groupe BCMP;;18 955,87 €;Y0079548;18126,56
12407;6449;BNP PARIBAS LEASE GROUP;Groupe Octantis;776945156;Perret Bureautique;Groupe BCMP;;130 840,61 €;Y0038593;126890,69
12419;6532;BNP PARIBAS LEASE GROUP;Abies Energie et Environnement;448691147;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;20 998,64 €;Y0039357;20080,04
12434;7068;BNP PARIBAS LEASE GROUP;Generale Automobile Muretaine;730802378;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 013,43 €;Y0039938;6784,28
12435;7069;BNP PARIBAS LEASE GROUP;Dallard Motors Multimarques;791923444;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;11 015,32 €;Y0039941;10655,93
12436;7067;BNP PARIBAS LEASE GROUP;France Auto SA;333314987;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;11 088,75 €;Y0039946;10726,97
12458;6468;BNP PARIBAS LEASE GROUP;ACIA Aero Company;798178737;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 162,44 €;Y0041719;3806,8
12594;7070;BNP PARIBAS LEASE GROUP;Tofer Ateliers;700802135;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;14 423,78 €;Y0046030;13665,91
12612;7322;BNP PARIBAS LEASE GROUP;PROMOCONFORT;338153711;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;15 164,87 €;Y0089868;14368,11
12613;7247;BNP PARIBAS LEASE GROUP;COMMUNE DE SAINT GENIES BELLEVUE;213104847;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 279,64 €;Y0046839;5027,72
12668;6694;BNP PARIBAS LEASE GROUP;Maitre Dunac Pierre;387721913;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 317,23 €;Y0072111;6827,89
12677;6981;BNP PARIBAS LEASE GROUP;FCCH ARCHITECTURE;390044410;Perret Bureautique;Groupe BCMP;;5 355,61 €;Y0091906;4825,91
12730;6866;BNP PARIBAS LEASE GROUP;ADOM'SERVICES 31;524696770;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 250,73 €;Y0083631;6765,83
12795;6760;BNP PARIBAS LEASE GROUP;ecogea;499020410;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;11 154,40 €;Y0054560;10568,15
12795;7137;BNP PARIBAS LEASE GROUP;ECOGEA;499020410;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;-11 154,40 €;Y0054560;10568,15
12797;6785;BNP PARIBAS LEASE GROUP;scp ferran;321176943;Perret Bureautique;Groupe BCMP;;14 941,03 €;Y0079595;14156,01
12799;6653;BNP PARIBAS LEASE GROUP;Maitre David Frédéric;403583313;Perret Bureautique;Groupe BCMP;;5 813,75 €;Y0069779;5344,65
12810;6938;BNP PARIBAS LEASE GROUP;MASP;477733232;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 451,86 €;Y0089088;6020,3
12827;6928;BNP PARIBAS LEASE GROUP;ECD;501434211;Perret Bureautique;Groupe BCMP;;3 107,81 €;Y0088235;2842,08
12894;6724;BNP PARIBAS LEASE GROUP;le nain vert;493239206;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 416,60 €;Y0057612;5054,17
12934;6985;BNP PARIBAS LEASE GROUP;MARTY-VD IMMO;812033033;Perret Bureautique;Groupe BCMP;;11 022,34 €;Y0059762;10443,01
12943;6913;BNP PARIBAS LEASE GROUP;AQUA PRODUCT EUROPE;429748981;Perret Bureautique;Groupe BCMP;;16 019,99 €;Y0060326;15319,01
12945;6970;BNP PARIBAS LEASE GROUP;AGENCE DES MINIMES;329024293;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;2 737,25 €;Y0060738;2503,12
12965;6979;BNP PARIBAS LEASE GROUP;SET SUD OUEST LOTISSEMENT PYTHAGORE;441514510;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;3 124,15 €;Y0061582;2857,02
12972;7535;BNP PARIBAS LEASE GROUP;STC;407759018;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 841,79 €;Y0073122;6384,19
13099;7179;BNP PARIBAS LEASE GROUP;AMBULANCES DE L'AUTAN;399386606;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 454,14 €;Y0066714;6022,43
13122;6865;BNP PARIBAS LEASE GROUP;ELITIS;344943444;Perret Bureautique;Groupe BCMP;;4 162,45 €;Y0067413;3806,79
13166;7135;BNP PARIBAS LEASE GROUP;EUREKAC;481789246;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 981,94 €;Y0069485;7448,21
13174;8337;BNP PARIBAS LEASE GROUP;LE 23;537554412;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;011221053;19 359,03 €;Y0070035;18456,38
13181;6951;BNP PARIBAS LEASE GROUP;COLART JEAN FRANCOIS;333150738;Perret Bureautique;Groupe BCMP;;8 135,10 €;Y0089947;7641,28
13202;7299;BNP PARIBAS LEASE GROUP;LA GRAINERIE;444923072;Perret Bureautique;Groupe BCMP;;8 503,56 €;Y0112956;7987,41
13203;7357;BNP PARIBAS LEASE GROUP;ASSOC HABITAT ET HUMANISME;422898635;Perret Bureautique;Groupe BCMP;;6 271,71 €;Y0117584;5852,19
13232;7456;BNP PARIBAS LEASE GROUP;MIN TM;630800118;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;41 383,19 €;Y0122984;39668,61
13298;7227;BNP PARIBAS LEASE GROUP;MOP VOYAGE;519591754;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;31 681,17 €;Y0108719;30823,97
13394;7216;BNP PARIBAS LEASE GROUP;LES GASTRONAUTES;434629762;Perret Bureautique;Groupe BCMP;;17 864,74 €;Y0107898;17083,13
13395;6971;BNP PARIBAS LEASE GROUP;KIKI PRESSE TABAC;791218217;Perret Bureautique;Groupe BCMP;;4 371,47 €;Y0078846;3998
13413;6995;BNP PARIBAS LEASE GROUP;DELIMA ISO DEVELOPPEMENT;808721336;Perret Bureautique;Groupe BCMP;;7 354,86 €;Y0079869;6863
13415;6972;BNP PARIBAS LEASE GROUP;BECHARDFONSOR;393886627;Perret Bureautique;Groupe BCMP;;8 575,20 €;Y0079890;8054,71
13417;7091;BNP PARIBAS LEASE GROUP;CBM SELAS;403664162;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 561,50 €;Y0099600;4171,82
13442;7833;BNP PARIBAS LEASE GROUP;MIDI PAPIERS PEINTS SOCIETE D'EXPLOITATION;423800911;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;11220180;14 993,85 €;Y0081508;14206,06
13445;8567;BNP PARIBAS LEASE GROUP;SARL AD IMMOBILIER;480867035;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;011221359;7 606,58 €;Y0081693;7096,75
13449;7037;BNP PARIBAS LEASE GROUP;MIDI PAPIERS PEINTS;423800911;Perret Bureautique;Groupe BCMP;;27 467,08 €;Y0097534;26265,76
13450;7038;BNP PARIBAS LEASE GROUP;ADHAP SERVICES APSD;438215212;Perret Bureautique;Groupe BCMP;;13 386,62 €;Y0097549;12683,2
13452;6950;BNP PARIBAS LEASE GROUP;SYNELVIA;511267395;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 390,47 €;Y0081864;4015,38
13455;7215;BNP PARIBAS LEASE GROUP;CASTERAN JEAN FRANCOIS;494756901;Perret Bureautique;Groupe BCMP;;39 221,68 €;Y0107604;38160,63
13471;7092;BNP PARIBAS LEASE GROUP;ASCO INGENIERIE;513494146;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;12 218,16 €;Y0099405;11576,06
13486;9061;BNP PARIBAS LEASE GROUP;CARRIERES DE LA MONTAGNE NOIRE;715820734;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;011221884;14 810,40 €;Y0219553;13990,01
13535;7163;BNP PARIBAS LEASE GROUP;DE LIMA PRO DECO;495300089;Perret Bureautique;Groupe BCMP;;16 504,56 €;Y0104131;15782,39
13567;7238;BNP PARIBAS LEASE GROUP;SOLSTICE GROUPE;441980810;Perret Bureautique;Groupe BCMP;;20 683,39 €;Y0110369;19778,57
13568;7344;BNP PARIBAS LEASE GROUP;CIPREV;450623277;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 416,60 €;Y0116949;5054,17
13695;7345;BNP PARIBAS LEASE GROUP;COGESER CONSULTING;710802224;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;17 768,21 €;Y0116810;16990,82
13745;8077;BNP PARIBAS LEASE GROUP;RUFFIE MECANIQUE;392244125;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;011220645;7 662,96 €;Y0093950;7129
13795;7132;BNP PARIBAS LEASE GROUP;ECOGEA;499020410;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;16 669,87 €;Y0095719;15940,48
13841;7939;BNP PARIBAS LEASE GROUP;SOCIETE DE COMPOSITION MODERNE;338540115;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;11220410;25 388,62 €;Y0097326;24205,06
13874;7281;BNP PARIBAS LEASE GROUP;AUTO SECOURS 82;819970104;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;12 354,41 €;Y0099507;11705,16
13956;7523;BNP PARIBAS LEASE GROUP;MORGANE;410369185;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;8 524,88 €;Y0128619;8081,29
13970;7480;BNP PARIBAS LEASE GROUP;SCEA DE LAS CASES;332149186;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;3 193,31 €;Y0125091;2920,3
14046;7386;BNP PARIBAS LEASE GROUP;ACCASTILLAGE DIFUSION;798029161;Perret Bureautique;Groupe BCMP;;2 224,19 €;Y0119681;1978,1
14098;8797;BNP PARIBAS LEASE GROUP;LOCACONCEPT;435055082;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;011221592;17 724,81 €;Y0138365;17143,38
14125;7684;BNP PARIBAS LEASE GROUP;SOTRALU;352081673;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;14 101,68 €;Y0109992;13591,65
14209;7837;BNP PARIBAS LEASE GROUP;BUROVANA;500840285;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;11220179;27 706,51 €;Y0111693;26494,72
14265;7599;BNP PARIBAS LEASE GROUP;CHARRIERE ET JACOB;348903337;Perret Bureautique;Groupe BCMP;;19 307,42 €;Y0135127;18189,98
14276;8282;BNP PARIBAS LEASE GROUP;LOTIRPLUS;491883757;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;011220888;8 577,83 €;Y0115647;8032,93
14288;8413;BNP PARIBAS LEASE GROUP;BULLE DE LINGE AQUITAINE;503008617;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;011221155;6 633,73 €;Y0115658;6171,39
14395;7834;BNP PARIBAS LEASE GROUP;AGRI SUD-OUEST INNOVATION;499196087;PERRET BUREAUTIQUE;Groupe BCMP;2018954;12 417,12 €;Y0119202;11764,58
14430;7835;BNP PARIBAS LEASE GROUP;NOVAL;449466978;PERRET BUREAUTIQUE;Groupe BCMP;2018951;4 504,47 €;Y0119708;4119,67
14461;7882;BNP PARIBAS LEASE GROUP;OGEC DE SAINT JORY;776847030;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;11220228;61 731,35 €;Y0145485;60492,45
14491;8064;BNP PARIBAS LEASE GROUP;CHRONOLAQ;453058430;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;011220646;19 441,94 €;Y0132641;18535,43
14492;8076;BNP PARIBAS LEASE GROUP;LES JARDINISTES OCCITANS;450837471;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;011220635;13 672,53 €;Y0121694;12915,11
14504;7847;BNP PARIBAS LEASE GROUP;SARL VIGNE T.P.;453797185;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;11220200;3 250,32 €;Y0122176;2972,44
14505;7919;BNP PARIBAS LEASE GROUP;CARDETE HUET SUD EST;500292438;PERRET BUREAUTIQUE;Groupe BCMP;2019110;9 099,28 €;Y0147708;8547,03
14511;7660;BNP PARIBAS LEASE GROUP;AGENIUM INFORMATIQUE ET SYSTEMES;478069180;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 756,19 €;Y0137229;7237,54
14536;7701;BNP PARIBAS LEASE GROUP;TOURISME LOISIRS CULTURE;384046454;Perret Bureautique;Groupe BCMP;;9 384,14 €;Y0138605;8814,61
14541;7686;BNP PARIBAS LEASE GROUP;MUTUELLE DU REMPART;776950537;Perret Bureautique;Groupe BCMP;;2 737,25 €;Y0126323;2503,12
14548;7889;BNP PARIBAS LEASE GROUP;OMNIUM TECH ETUDE CONST EQUIP MIDI PYR;451221733;PERRET BUREAUTIQUE;Groupe BCMP;2019049;11 251,88 €;Y0145819;10660,51
14549;7719;BNP PARIBAS LEASE GROUP;COMMUNE DE SAINT CLAR DE RIVIERE;213104755;Perret Bureautique;Groupe BCMP;;10 446,10 €;Y0123417;10119,78
14586;7973;BNP PARIBAS LEASE GROUP;LES JARDINISTES OCCITANS;450837471;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;11220458;19 956,57 €;Y0125040;19026,07
14618;7616;BNP PARIBAS LEASE GROUP;BERTRAND DESANGLES GAN ASSURANCES;502768633;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;1 753,31 €;Y0137038;1559,17
14653;8090;BNP PARIBAS LEASE GROUP;CATTIN FILTRATION;820607810;PERRET BUREAUTIQUE;Groupe BCMP;002019346;2 747,80 €;Y0128355;2505,21
14686;7836;BNP PARIBAS LEASE GROUP;NEOVESTA;532061074;PERRET BUREAUTIQUE;Groupe BCMP;2018950;4 258,41 €;Y0129010;4023,22
14733;7918;BNP PARIBAS LEASE GROUP;IMMO SAINT-ORENS;491688933;BUREAUTIQUE CONSEIL MIDI PYRENEES;Groupe BCMP;11220337;7 582,89 €;Y0130395;7075,8
14740;7839;BNP PARIBAS LEASE GROUP;COMMUNE DE POUDIS;218102101;PERRET BUREAUTIQUE;Groupe BCMP;2018953;11 394,49 €;Y0142907;10966,85
